CardTitle,CardSummary,CardTemplate,Category
Career Mistakes,Help readers avoid mistakes by learning from your experiences.,"I asked [X] [Niche] leaders one simple question:

“What early career mistake will you never make again?”

The result: [X] profound mistakes everyone (from intern to executive) should avoid in their career.

Let’s dive in:

Mistake 1: [Mistake1]

Too often, [Role] choose to [WrongDecision].

Instead, [Role] should be focused on [RightDecision].

This is what ends up making the biggest difference.

Mistake 2: [Mistake2]

A good [Role] can [GoodOutcome].

A bad [Role] can [BadOutcome].

But a legendary [Role] can [GiantOutcome].

Mistake 3: [Mistake3]

Until you’ve [Milestone], don’t take your eye off the ball.

[”RelevantQuote”].

Mistake 4: [Mistake4]

Traditional wisdom says [TraditionalWisdom].

But that’s only true if you don’t do two things correctly:

[RightDecision1]

[RightDecision2]

Then, [TraditionalWisdom] works great.

Mistake 5: [Mistake5]

We all think we can [Decision].

Until we can’t.

Which is why it’s much better to [RightDecision] from the very beginning.",Personal Story
Curated Frameworks,Transform other people’s mental models into consumable content.,"The world’s most valuable skill:

[Skill]

But [Obstacle] keeps people from ever learning how to do it—and costs them roughly [Money] in the process.

So, here are [X] [Topic] frameworks that cost you nothing and will save you hundreds of painful hours:

1) [Name]’s [Topic] Framework

This completely changed the way I thought about [Topic].

[LinkToThread]

2) [Name]’s [Topic] Framework

Hang this up in your room somewhere—and stare at it everyday.

[LinkToThread]

3) [Name]’s [Topic] Framework

I consider this the Bible of [Topic].

[LinkToThread]

4) [Name]’s [Topic] Framework

Struggling with [Obstacle]?

Read this:

[LinkToThread]

5) [Name]’s [Topic] Framework

Finally, every [Audience] should read this:

[LinkToThread]",Curation
Curated Takeaways,Crystallize your own learnings by sharing your takeaways with others.,"The [Status] of [Topic]:

[Name]

Over [TimePeriod], [Name] has [Achievement].

So I binged over [X] [Assets] of theirs to study how exactly [Name] reached [Achievement].

Here’s what I learned–broken down in a simple [X]-step framework you can use to [Outcome]:

Some quick stats on [Name] if you're unfamiliar:

[AchievementStat1]

[AchievementStat2]

[AchievementStat3]

[AchievementStat4]

So... what can we learn?

[Name] creates [Assets] with this simple, 3-part framework:

1) [Step1]

2) [Step2]

3) [Step3]

Now, pair this framework with an unmatched work ethic and you get a potent combination for rapid growth.

Let's dig in:

For [Name], everything begins with [Step1].

The reason is because [Reason].

To do this, [Name] does the following:

[Tactic1]

[Tactic2]

[Tactic3]

Simple, but highly effective.

The next thing [Name] focuses on is [Step2].

They do this by [Tactic], and sometimes even [Tactic].

Which leads us to…

The real reason [Name] is so successful at [Outcome] is because they are obsessive about:

[Tactic]

[Tactic]

[Tactic]

This, combined with [Step1] and [Step2] is what makes them so successful.

So, let's recap what we've learned:

First, study [Step1].

And remember to [DescriptionStep1].

Second, study the art of [Step2]. Do this by:

1) [Tactic1]

2) [Tactic2]

3) [Tactic3]

And lastly, don't [Mistake].

Instead, [Step 3].

And don’t forget to [DescriptionStep3].

Do the above, and maybe you will be the next [Status] of [Topic]!",Curation
Curated Blog Posts,Thread Opener: top blog posts you recommend reading.,"2.5 billion blog posts are published each year.

But it’s impossible to read that much content.

So, ignore the 2,499,999,992 that aren’t worth your time.

And just read these 8:

[Write your thread here]",Curation
Curated TedTalks,Thread Opener: curate a list of TedTalks that you believe your audience will find useful.,"I am an education junkie.

For example, I have watched over [X] hours watching nearly every TedTalk on the Internet.

Many are interesting. But only a few are worth your time.

Here is a list of my [X] favorites—that will help you [Outcome1], [Outcome2], and [Outcome3]:

[Write your thread here]",Curation
Curated Twitter Threads,Thread Opener: best threads for the audience to start learning about your niche.,"[FamousPerson] once said:

[RelevantNicheQuote]

Lucky for you, [Niche] is a skill anyone can acquire.

Unfortunately, most people never learn it—because no one shows them where to start.

So here are [X] of the best [Niche] threads (so you can start learning today):

[Write your thread here]",Curation
Curated YouTube Channels,Thread Opener: YouTube channels that provide valuable information about a niche.,"If Twitter is a free University, then YouTube is a free Graduate Program.

Here are [X] YouTube channels you can follow to become a master of [Niche]—that are so valuable they should charge $100,000+ for the information & insight they provide:

[Write your thread here]",Curation
Individual Book Breakdown,Thread Opener: introduce a book that has a simple step-by-step process for a desired outcome.,"[BookMainTitle]

[BookSubtitle]

Back in [Year], legendary [StatusTitle] [Author] distilled his/her/their [X] years of wisdom into [X] pages.

And in this book, [He/She/They] shared a simple [X]-step process for [Outcome].

Here’s the breakdown:

[Write your thread here]",Educational Breakdown
"1,000 Hours","A hook for a thread sharing what you've learned after 1,000 hours of studying a topic.","I spent over 1,000 hours learning to [Skill] effectively— because college completely failed to teach me.

Here's everything I learned distilled into 11 tweets (that you can start applying today):",Advice & Life Lessons
Best Book This Year,Thread hook introducing the best book you've read this year.,"The best book I've read this year:

[BookTitle] by [AuthorName].

Buried inside this gem are 4 short pages that pack more insights on [Outcome] than any book I've ever read.

Here are [X] quotes that will change the way you think about [Topic] forever:",Book-Based
